time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,ref_2017dez,Equipamento SW01B_MSOMCGR,Equipamento RD04_MSRPCGR,OMCGR_SysUpDeslig,Equipamento RD04_MSOMCGR,Equipamento RD02_MSOMCGR,Equipamento MSOMCGR_SWL3,OMCGR_nOK_0001,Equipamento RD03_MSOMCGR,Equipamento RD01_MSOMCGR,Equipamento RD01_MSRPCGR,ref_2017nov,ref_Periodo,Equipamento SW01A_MSOMCGR,OMCGR_SColTempo_0001_delta_tempo,RPCGR_SysUpDeslig
"2017-12-02 22:14:40","2017-12-03 21:59:18",85478.0,0.00408813533479, ,1, , , , , , , , , , , ,1, , , 
"2017-12-03 21:59:18","2017-12-03 21:59:47",29.0,1.38697588513E-06,919,1, , , , , , , , , , , ,1, , , 
"2017-12-03 21:59:47","2017-12-03 22:14:37",890.0,4.2565811647E-05,919,1, , , , , , , , , , , ,1, ,893, 
"2017-12-03 22:14:37","2017-12-03 22:14:40",3.0,1.43480263979E-07, ,1, , , , , , , , , , , ,1, ,893, 
"2017-12-03 22:14:40","2017-12-04 21:59:18",85478.0,0.00408813533479, ,1, , , , , , , , , , , ,1, , , 
"2017-12-04 21:59:18","2017-12-04 21:59:46",28.0,1.33914913047E-06,932,1, , , , , , , , , , , ,1, , , 
"2017-12-04 21:59:46","2017-12-04 22:14:50",904.0,4.32353862123E-05,932,1, , , , , , , , , , , ,1, ,906, 
"2017-12-04 22:14:50","2017-12-04 22:14:52",2.0,9.56535093192E-08, ,1, , , , , , , , , , , ,1, ,906, 
"2017-12-04 22:14:52","2017-12-05 08:14:18",35966.0,0.00172013705809, ,1, , , , , , , , , , , ,1, , , 
"2017-12-05 08:14:18","2017-12-05 08:14:46",28.0,1.33914913047E-06,727,1, , , , , , , , , , , ,1, , , 
"2017-12-05 08:14:46","2017-12-05 08:26:06",680.0,3.25221931685E-05,727,1, , , , , , , , , , , ,1, ,680, 
"2017-12-05 08:26:06","2017-12-05 08:26:25",19.0,9.08708338533E-07,727,1, , , , , , , , , , , ,1, , , 
"2017-12-05 08:26:25","2017-12-05 17:47:46",33681.0,0.00161085292369, ,1, , , , , , , , , , , ,1, , , 
"2017-12-05 17:47:46","2017-12-05 17:48:18",32.0,1.53045614911E-06, ,1, , , , , , , , , , , ,1, ,884, 
"2017-12-05 17:48:18","2017-12-05 18:02:30",852.0,4.074839497E-05,888,1, , , , , , , , , , , ,1, ,884, 
"2017-12-05 18:02:30","2017-12-05 18:03:06",36.0,1.72176316775E-06,888,1, , , , , , , , , , , ,1, , , 
"2017-12-05 18:03:06","2017-12-05 21:59:18",14172.0,0.000677800767036, ,1, , , , , , , , , , , ,1, , , 
"2017-12-05 21:59:18","2017-12-05 21:59:47",29.0,1.38697588513E-06,932,1, , , , , , , , , , , ,1, , , 
"2017-12-05 21:59:47","2017-12-05 22:14:50",903.0,4.31875594576E-05,932,1, , , , , , , , , , , ,1, ,905, 
"2017-12-05 22:14:50","2017-12-05 22:14:52",2.0,9.56535093192E-08, ,1, , , , , , , , , , , ,1, ,905, 
"2017-12-05 22:14:52","2017-12-06 21:59:18",85466.0,0.00408756141374, ,1, , , , , , , , , , , ,1, , , 
"2017-12-06 21:59:18","2017-12-06 21:59:46",28.0,1.33914913047E-06,934,1, , , , , , , , , , , ,1, , , 
"2017-12-06 21:59:46","2017-12-06 22:14:52",906.0,4.33310397216E-05,934,1, , , , , , , , , , , ,1, ,908, 
"2017-12-06 22:14:52","2017-12-06 22:14:54",2.0,9.56535093192E-08, ,1, , , , , , , , , , , ,1, ,908, 
